"Stationsnamn","StationsID","VattenförekomstID","Typ","Vattenmiljö","Region","long","lat"
"Abiskojokk Röda Bron","SE758793-162214","WA37110481","Vattendrag","Sjöar och Vattendrag","",18.771840126099,68.3562454695814
"Ådalsån","SE695998-156845","WA55967934","Vattendrag","Sjöar och Vattendrag","",17.1707452423282,62.7129470341797
"Akkarjåkkå","SE753460-165285","WA34033118","Vattendrag","Sjöar och Vattendrag","",19.4400049158998,67.8641980209098
"Ålbergaån, Kila","SE651375-154304","WA51800039","Vattendrag","Sjöar och Vattendrag","",16.5485077851801,58.7439171923933
"Alep Uttjajåkkå","SE739283-163835","WA60052782","Vattendrag","Sjöar och Vattendrag","",18.9266946822474,66.6022733236108
"Alsterån Getebro","SE632033-152167",,"Vattendrag","Flodmynningar","",16.1618815527722,57.0089111604072
"Alterälven Norrfjärden","SE726942-176351",,"Vattendrag","Flodmynningar","",21.4859302057403,65.4199292920786
"Ammerån Skyttmon","SE703411-148805","WA56088945","Vattendrag","Sjöar och Vattendrag","",15.5657659025271,63.415651643777
"Ångermanälven Sollefteå","SE700773-157350",,"Vattendrag","Flodmynningar","",17.2641453310566,63.1717178132988
"Anråsälven","SE651029-124710","WA36556832","Vattendrag","Sjöar och Vattendrag","",11.3354727159135,58.6392853353629
"Arån","SE697717-139085","WA11914890","Vattendrag","Sjöar och Vattendrag","",13.8344671734369,62.7516816464608
"Ätran, Falkenberg","SE631338-129833",,"Vattendrag","Flodmynningar","",12.4946385753994,56.9031291294278
"Bastuån","SE700012-140354","WA38611588","Vattendrag","Sjöar och Vattendrag","",13.8313891155942,63.2678669924027
"Bäveån Uddevalla","SE647582-127369",,"Vattendrag","Flodmynningar","",11.9392693899262,58.3471167026144
"Bergmyrbäcken","SE728070-165120","WA66448021","Vattendrag","Sjöar och Vattendrag","",19.0838610625735,65.5923888828812
"Björnbackån","SE673809-153401",,"Vattendrag","Sjöar och Vattendrag","",16.4289439033944,60.7582773257558
"Bjurbäcken","SE718265-171875","WA95930698","Vattendrag","Sjöar och Vattendrag","",20.3897603177966,64.6773373974956
"Bjurforsbäcken","SE666881-151821","WA11915510","Vattendrag","Sjöar och Vattendrag","",16.1328277177183,60.137528008819
"Blankan","SE627958-134477","WA56955874","Vattendrag","Sjöar och Vattendrag","",13.3095155673118,56.5619198036049
"Botorpström Brunnsö","SE639339-154122",,"Vattendrag","Flodmynningar","",16.4958179847371,57.6635727407223
"Bråtängsbäcken","SE650799-143323","WA11935716","Vattendrag","Sjöar och Vattendrag","",14.6537807532364,58.6891918655645
"Bulsjöån","SE641475-147365","WA86777326","Vattendrag","Sjöar och Vattendrag","",15.361375958648,57.8564523357004
"Dalälven Älvkarleby","SE671742-158974",,"Vattendrag","Flodmynningar","",17.4413936566106,60.5642064151313
"Dammån","SE632137-147160","WA45416248","Vattendrag","Sjöar och Vattendrag","",15.33768888646,57.0178716714053
"Delångersån Iggesund","SE683661-156793",,"Vattendrag","Flodmynningar","",17.0863531336318,61.6378505631083
"Domneån Utl. Vättern","SE641827-139990","WA79424619","Vattendrag","Sjöar och Vattendrag","",14.1180535918427,57.8776171976133
"Emån Emsfors","SE633520-153920",,"Vattendrag","Flodmynningar","",16.4527180127278,57.1412711637358
"Enån","SE664297-136937","WA63487998","Vattendrag","Sjöar och Vattendrag","",13.5259346210293,59.8757680197184
"Enningdalsälv N.Bullaren","SE653621-125394",,"Vattendrag","Flodmynningar","",11.537396941301,58.8771684649736
"Fiskonbäcken, v.vid mynn","SE720990-147270","WA37926239","Vattendrag","Sjöar och Vattendrag","",15.2264083066677,64.9915861654187
"Forsmarksån Johannisfors","SE669500-163246",,"Vattendrag","Flodmynningar","",18.2047949724833,60.3513731756161
"Gärebäcken","SE647707-141033","WA80380116","Vattendrag","Sjöar och Vattendrag","",14.2712291048922,58.4075668477283
"Gavleån Gävle","SE672915-157210",,"Vattendrag","Flodmynningar","",17.1241556848458,60.6730059330632
"Gide älv Gideåbacka","SE703055-166572",,"Vattendrag","Flodmynningar","",19.1156624340282,63.3455467330748
"Göta Älv Trollhättan","SE646771-129330",,"Vattendrag","Sjöar och Vattendrag","",12.2807471246554,58.2841192468058
"Göta älv, Alelyckan","SE641071-127372",,"Vattendrag","Flodmynningar","",12.0023766719413,57.7638646841031
"Gothemsån Hörsne","SE638491-166721",,"Vattendrag","Sjöar och Vattendrag","",18.5990615764316,57.5584298868478
"Hammarbäcken","SE688271-138240","WA71072371","Vattendrag","Sjöar och Vattendrag","",13.9965853223423,62.1165532888071
"Härån","SE684404-578511","WA62859200","Vattendrag","Sjöar och Vattendrag","",16.5934522124928,61.7778868717221
"Hästgångsån","SE638561-141289","WA62510992","Vattendrag","Sjöar och Vattendrag","",14.2748599850827,57.5628721633204
"Helgaboån","SE640085-138148","WA12737498","Vattendrag","Sjöar och Vattendrag","",13.8164170706084,57.7167904171343
"Helgeån Hammarsjön","SE620277-140091",,"Vattendrag","Flodmynningar","",14.2193332283786,55.9434413390643
"Höjdabäcken","SE710354-155465","WA24742612","Vattendrag","Sjöar och Vattendrag","",16.9232344296332,64.0344074517966
"Hökvattsån","SE708380-145455","WA75124922","Vattendrag","Sjöar och Vattendrag","",14.8807747790814,63.858661021767
"Hovgårdsån","SE631040-131581","WA55301346","Vattendrag","Sjöar och Vattendrag","",12.7875980413007,56.8728145292955
"Indalsälven Bergeforsen","SE693587-158205",,"Vattendrag","Flodmynningar","",17.398548759446,62.5254063220554
"Kalix älv Karlsborg","SE732407-183604",,"Vattendrag","Flodmynningar","",23.1731729170776,65.8395949971402
"Kärmsjöbäcken","SE708485-154920","WA98025719","Vattendrag","Sjöar och Vattendrag","",16.8057519882963,63.8675814447708
"Kävlingeån Högsmölla","SE618678-132881",,"Vattendrag","Sjöar och Vattendrag","",13.0766524723007,55.7797390731261
"Killingi","SE749870-169055","WA30011092","Vattendrag","Sjöar och Vattendrag","",20.272091493497,67.521029200625
"Kitkiöjoki","SE753778-181417","WA72266995","Vattendrag","Sjöar och Vattendrag","",23.2559437421829,67.76318577477
"Klarälven Edsforsen","SE666294-137309","WA89864864","Vattendrag","Sjöar och Vattendrag","",13.525963657247,60.0655849254546
"Klingavälsån Vomb","SE617263-135608","WA14011444","Vattendrag","Sjöar och Vattendrag","",13.5183220601125,55.6616278880903
"Kolarebäcken","SE641953-137406","WA39944872","Vattendrag","Sjöar och Vattendrag","",13.6821724532228,57.8823843831427
"Kukkasjärvi","SE735526-183905","WA97950526","Vattendrag","Sjöar och Vattendrag","",23.3200331205729,66.1137539573132
"Kvarnån","SE703626-153615","WA38909960","Vattendrag","Sjöar och Vattendrag","",16.5291574098311,63.4333137471023
"Lagan Laholm","SE626875-133051",,"Vattendrag","Sjöar och Vattendrag","",13.0515741172914,56.515678166228
"Laxbäcken","SE663532-523976","WA13162462","Vattendrag","Sjöar och Vattendrag","",15.4679222916389,59.7299992511438
"Laxtjärnsbäcken","SE730224-165025","WA60567507","Vattendrag","Sjöar och Vattendrag","",19.087659765901,65.7856979960783
"Lekarån","SE699780-139553","WA55565146","Vattendrag","Sjöar och Vattendrag","",13.7377899836594,63.0750195466677
"Lill-Fämtan","SE675032-135400","WA43483826","Vattendrag","Sjöar och Vattendrag","",13.1195470111597,60.8426323053064
"Lillån","SE706176-733260","WA62616626","Vattendrag","Sjöar och Vattendrag","",19.7437663964153,63.5372823732145
"Lillån","SE636806-147459","WA99240897","Vattendrag","Sjöar och Vattendrag","",15.4932281794947,57.4122970217027
"Lillån","SE629147-133368","WA19412340","Vattendrag","Sjöar och Vattendrag","",13.0659026762949,56.6995486873786
"Lillån/Bosgårdsån","SE631375-379389","WA50192169","Vattendrag","Sjöar och Vattendrag","",13.0716726148818,56.9258082498576
"Lilltjärnsbäcken","SE707822-133430","WA99507792","Vattendrag","Sjöar och Vattendrag","",12.4447681593325,63.7724192732337
"Lindåsabäcken","SE639719-133565","WA35495796","Vattendrag","Sjöar och Vattendrag","",13.050758142601,57.6695633215355
"Ljungaån","SE637960-132204","WA88378649","Vattendrag","Sjöar och Vattendrag","",12.6939066035263,57.4706258420032
"Ljungan Skallböleforsen","SE691743-155984",,"Vattendrag","Flodmynningar","",16.9609179699089,62.3642454734213
"Ljungbyån Ljungbyholm","SE627831-152255",,"Vattendrag","Flodmynningar","",16.1726736472618,56.6315333019505
"Ljusnan Funäsdalen","SE694231-133350","WA99367298","Vattendrag","Sjöar och Vattendrag","",12.5674703453638,62.5547598159213
"Ljusnan, Ljusne Strömmar","SE678924-156862",,"Vattendrag","Flodmynningar","",17.0818959300432,61.2127520779332
"Loån","SE660713-165636","WA79044816","Vattendrag","Sjöar och Vattendrag","",18.5707576748855,59.5551133868785
"Lögde älv Lögdeå","SE705438-167938",,"Vattendrag","Flodmynningar","",19.4147093905276,63.5523248780174
"Lommabäcken Nedre","SE650920-143244",,"Vattendrag","Sjöar och Vattendrag","",14.6398004022058,58.6999309161237
"Lule älv Luleå","SE729186-178575",,"Vattendrag","Flodmynningar","",22.0096502872515,65.6013105511668
"Lyckebyån Lyckeby","SE623006-149119",,"Vattendrag","Flodmynningar","",15.6633201786869,56.1986758184414
"Mansån","SE664335-136275","WA77117417","Vattendrag","Sjöar och Vattendrag","",13.3534788307896,59.8865852342098
"Mattjockbäcken","SE723232-161455","WA23593659","Vattendrag","Sjöar och Vattendrag","",18.2494434106834,65.1739300401766
"Mesjön","SE718001-147980","WA78387734","Vattendrag","Sjöar och Vattendrag","",15.381110037075,64.7240169589888
"Mörrumsån Mörrum","SE622950-143450",,"Vattendrag","Flodmynningar","",14.7502686155092,56.1892141550417
"Motala Ström Norrköping","SE649673-151838",,"Vattendrag","Flodmynningar","",16.1212449549739,58.5928735059472
"Muddusälven","SE741419-169012","WA60139716","Vattendrag","Sjöar och Vattendrag","",20.1246748720054,66.7657564974114
"Musån","SE637187-135350","WA34316369","Vattendrag","Sjöar och Vattendrag","",13.3316409448561,57.4763160699594
"Nissan Halmstad","SE628877-132040",,"Vattendrag","Flodmynningar","",12.8736564376623,56.6914832933787
"Norrhultsbäcken","SE633316-146198","WA36456490","Vattendrag","Sjöar och Vattendrag","",15.1775309035251,57.1230464665879
"Norrström Stockholm","SE658078-162873",,"Vattendrag","Flodmynningar","",18.0667247978812,59.3281758673844
"Nyköpingsån Spånga","SE652370-156442",,"Vattendrag","Flodmynningar","",16.9205502595144,58.8305670471522
"Oradbäcken Ö.Kärtmyrås","SE678609-137505",,"Vattendrag","Sjöar och Vattendrag","",13.500087695815,61.1708508433622
"Öre älv Torrböle","SE707160-168739",,"Vattendrag","Flodmynningar","",19.5960070677542,63.7023261626767
"Örekilsälven Munkedal","SE648930-125964",,"Vattendrag","Flodmynningar","",11.6858743846659,58.4603630166491
"Ostvik","SE721000-174904","WA96430884","Vattendrag","Sjöar och Vattendrag","",21.0691273539224,64.9006500333576
"Övre Lansjärv","SE740810-178405",,"Vattendrag","Sjöar och Vattendrag","",22.2309439827964,66.6389453200089
"Pipbäcken Nedre","SE633070-131710",,"Vattendrag","Sjöar och Vattendrag","",12.7897140373708,57.0662265417416
"Pite älv Bölebyn","SE726410-175525",,"Vattendrag","Flodmynningar","",21.2988922537381,65.3790048931498
"Råån Helsingborg","SE621205-131122",,"Vattendrag","Flodmynningar","",12.7790881441282,55.9998434312249
"Råne älv Niemisel","SE733833-177925",,"Vattendrag","Flodmynningar","",21.9681884814074,66.0213708736317
"Rickleån Utl","SE711900-175034",,"Vattendrag","Flodmynningar","",20.9412222931846,64.0867993152434
"Ringsmobäcken","SE654845-126685","WA87368980","Vattendrag","Sjöar och Vattendrag","",11.7477824812449,58.9939674222187
"Rönneån Klippan","SE622467-133458",,"Vattendrag","Sjöar och Vattendrag","",13.1452721991814,56.1216799304769
"Sävjaån Ingvasta","SE665649-161397","WA73538296","Vattendrag","Sjöar och Vattendrag","",17.8485268759725,60.0115727742834
"Silverån","SE639020-148650","WA45704566","Vattendrag","Sjöar och Vattendrag","",15.5792007932817,57.6365953081496
"Skansnäsån","SE724097-151160","WA12679259","Vattendrag","Sjöar och Vattendrag","",16.053316956427,65.2711791013933
"Skärån","SE621643-134041","WA32370039","Vattendrag","Sjöar och Vattendrag","",13.1744143496174,56.09535338728
"Skellefte älv Slagnäs","SE728796-160764","WA32567448","Vattendrag","Sjöar och Vattendrag","",18.1462250832031,65.6748619003475
"Skellefte älv, Kvistforsen","SE719095-173622",,"Vattendrag","Flodmynningar","",20.7679167120301,64.739734573298
"Skivarpsån Skivarp","SE614886-136002",,"Vattendrag","Sjöar och Vattendrag","",13.5929005308368,55.4494339963521
"Skuggälven","SE654022-124861","WA54920650","Vattendrag","Sjöar och Vattendrag","",11.1700291296444,58.9392910713507
"Smedjeån V. Mellby","SE626827-132577",,"Vattendrag","Sjöar och Vattendrag","",12.9749787575593,56.5096363350561
"Sörjabäcken","SE673813-153174","WA86962872","Vattendrag","Sjöar och Vattendrag","",16.4289366484915,60.7582762697293
"Stockholm Centralbron","SE658065-162841",,"Vattendrag","Flodmynningar","",18.0610371373681,59.3271144916777
"Stormyrbäcken","SE690530-152405","WA15165797","Vattendrag","Sjöar och Vattendrag","",16.2679818565578,62.2594269369901
"Storselsån","SE707204-161537","WA13229699","Vattendrag","Sjöar och Vattendrag","",18.5676380491869,63.6392800229729
"Svartberget, C7","SE713297-169256","WA27120760","Vattendrag","Sjöar och Vattendrag","",19.7778945250905,64.2512823130311
"Svedån Sved","SE643455-140114","WA44293011","Vattendrag","Sjöar och Vattendrag","",14.1321624189108,58.0240046158307
"Tolångaån Tolånga","SE617027-137477","WA78517976","Vattendrag","Sjöar och Vattendrag","",13.8161724510831,55.6456139957828
"Töre älv Infl.Bölträsket","SE733222-181059",,"Vattendrag","Flodmynningar","",22.6395412483791,65.937876902893
"Torne älv Mattila","SE733351-187900",,"Vattendrag","Flodmynningar","",24.1310357598379,65.8754685454289
"Tosthultsån","SE625442-141314","WA87719053","Vattendrag","Sjöar och Vattendrag","",14.3542440366385,56.3239698018289
"Trösälven","SE659564-142727","WA27353528","Vattendrag","Sjöar och Vattendrag","",14.5176842567214,59.3559535223884
"Ume älv Stornorrfors","SE708979-170865",,"Vattendrag","Flodmynningar","",20.0491762061029,63.8531224788395
"V. Dalälven Mockfjärd","SE670757-145007","WA83495266","Vattendrag","Sjöar och Vattendrag","",14.8970400361629,60.4827108881079
"Vapstälven","SE726075-144043","WA32889936","Vattendrag","Sjöar och Vattendrag","",14.5207808180909,65.4433225319368
"Västergarnsån, Liffedarve","SE637535-164346","WA23701054","Vattendrag","Sjöar och Vattendrag","",18.19704167943,57.4808083046239
"Västersel","SE703847-162474","WA43699279","Vattendrag","Sjöar och Vattendrag","",18.3042271663855,63.433162457568
"Verkaån","SE617710-138599","WA82206081","Vattendrag","Sjöar och Vattendrag","",14.1968906518261,55.72414384589
"Viepsajåkkå","SE737675-158280","WA56061050","Vattendrag","Sjöar och Vattendrag","",17.6635023929956,66.478045197652
"Vindelälven Maltbrännan","SE716805-166700","WA54087504","Vattendrag","Sjöar och Vattendrag","",19.2911468192767,64.5762116524601
"Vingån","SE673303-133869","WA97449813","Vattendrag","Sjöar och Vattendrag","",12.922504455448,60.6888409272854
"Virån","SE635805-154005","WA35243626","Vattendrag","Sjöar och Vattendrag","",16.4704313365456,57.3463754140993
"Viskan Åsbro","SE635136-128895",,"Vattendrag","Flodmynningar","",12.309062986812,57.2393717986796
"Viskansbäcken","SE692688-153260","WA30601332","Vattendrag","Sjöar och Vattendrag","",16.4365868235568,62.4523949251709
"Vretaån","SE651360-153835","WA39935042","Vattendrag","Sjöar och Vattendrag","",16.4674934816765,58.7430055447059
